title,videoId,thumbnail_url,youtube_url,image,publishedAt,singer,Skip,isSong
Original Song - JOLLIE JOLLIE (Prod. KOTONOHOUSE),2ZqtRc3fa_s,https://i.ytimg.com/vi/2ZqtRc3fa_s/mqdefault.jpg,https://www.youtube.com/watch?v=2ZqtRc3fa_s,,2022-04-18,Kureiji Ollie Ch. hololive-ID,,TRUE
【MV】鬼灯日和 / いろはにほへっと あやふぶみ【楽曲好評配信中！】,AvOu9B5rsdA,https://i.ytimg.com/vi/AvOu9B5rsdA/mqdefault.jpg,https://www.youtube.com/watch?v=AvOu9B5rsdA,,2022-04-19,hololive ホロライブ - VTuber Group,,TRUE
あざとく「バニー」歌ってみた / 夜空メル(cover),bNHyZrpiaII,https://i.ytimg.com/vi/bNHyZrpiaII/mqdefault.jpg,https://www.youtube.com/watch?v=bNHyZrpiaII,,2022-04-20,Mel Channel 夜空メルチャンネル,,TRUE
【歌ってみた/cover】ゆずれない願い【ときのそら】,4pjEF0tV4VE,https://i.ytimg.com/vi/4pjEF0tV4VE/mqdefault.jpg,https://www.youtube.com/watch?v=4pjEF0tV4VE,,2022-04-21,SoraCh. ときのそらチャンネル,,TRUE
君色ハナミズキ／角巻わため【original】,i6ePlXqZa88,https://i.ytimg.com/vi/i6ePlXqZa88/mqdefault.jpg,https://www.youtube.com/watch?v=i6ePlXqZa88,,2022-04-21,Watame Ch. 角巻わため,,TRUE
オレンジ / とらドラED full covered by 桃鈴ねね Kiara,bg9M4KTNnHY,https://i.ytimg.com/vi/bg9M4KTNnHY/mqdefault.jpg,https://www.youtube.com/watch?v=bg9M4KTNnHY,,2022-04-21,Nene Ch.桃鈴ねね,,TRUE
アニマル / 博衣こより(cover)【ホロライブ/歌ってみた】,Xdh6iVRzv_k,https://i.ytimg.com/vi/Xdh6iVRzv_k/mqdefault.jpg,https://www.youtube.com/watch?v=Xdh6iVRzv_k,,2022-04-21,Koyori ch. 博衣こより - holoX -,,TRUE
フォニイ／天音かなた(cover),3CQJ0gJ5AKE,https://i.ytimg.com/vi/3CQJ0gJ5AKE/mqdefault.jpg,https://www.youtube.com/watch?v=3CQJ0gJ5AKE,,2022-04-22,Kanata Ch. 天音かなた,,TRUE
プロローグ - Uru / 鷹嶺ルイ(cover),r20vlEbFGyo,https://i.ytimg.com/vi/r20vlEbFGyo/mqdefault.jpg,https://www.youtube.com/watch?v=r20vlEbFGyo,,2022-04-22,Lui ch. 鷹嶺ルイ - holoX -,,TRUE
【Cover】Beat Eater / calliope × reine × suisei,nbB3KsFRv4U,https://i.ytimg.com/vi/nbB3KsFRv4U/mqdefault.jpg,https://www.youtube.com/watch?v=nbB3KsFRv4U,,2022-04-22,Pavolia Reine Ch. hololive-ID,,TRUE
フォニイ / 大神ミオ(Cover),x08ODvaQAqU,https://i.ytimg.com/vi/x08ODvaQAqU/mqdefault.jpg,https://www.youtube.com/watch?v=x08ODvaQAqU,,2022-04-23,Mio Channel 大神ミオ,,TRUE